Audible_Title,Audible_Author,Goodreads_Link
The Authenticity Project,Clare Pooley,https://www.goodreads.com/book/show/55789067-the-authenticity-project?from_search=true&from_srp=true&qid=KI07BV7RXl&rank=1
A Single Thread,Tracy Chevalier,https://www.goodreads.com/book/show/43943459-a-single-thread?from_search=true&from_srp=true&qid=Baqj1TsSsY&rank=1
Sparks Like Stars,Nadia Hashimi,https://www.goodreads.com/book/show/53746807-sparks-like-stars?from_search=true&from_srp=true&qid=fTMoEfBJup&rank=1
Interior Chinatown,Charles Yu,https://www.goodreads.com/book/show/44436221-interior-chinatown?from_search=true&from_srp=true&qid=MkY2DeDhMs&rank=1
A Summer in Sonoma,Robyn Carr,https://www.goodreads.com/book/show/7624133-a-summer-in-sonoma?from_search=true&from_srp=true&qid=D0ymhQyJhG&rank=1
Plain Bad Heroines,Emily M. Danforth,https://www.goodreads.com/book/show/50496875-plain-bad-heroines?from_search=true&from_srp=true&qid=ibiCqnGY1c&rank=1
The Ex Talk,Rachel Lynn Solomon,https://www.goodreads.com/book/show/53415121-the-ex-talk?from_search=true&from_srp=true&qid=ZQMig1xNpj&rank=1
Devils,Fyodor Dostoevsky,https://www.goodreads.com/book/show/3090348-devils?from_search=true&from_srp=true&qid=QcIOWH1UkL&rank=2
Tai-Pan,James Clavell,https://www.goodreads.com/book/show/42933.Tai_Pan?from_search=true&from_srp=true&qid=qYOfk2pQMC&rank=3
The Lost Orphan,Stacey Halls,https://www.goodreads.com/book/show/45422548-the-lost-orphan?from_search=true&from_srp=true&qid=WUXmbmxRsv&rank=1
Roommates Wanted,Lisa Jewell,https://www.goodreads.com/book/show/1549933.Roommates_Wanted?from_search=true&from_srp=true&qid=wRMbuHxvdr&rank=1
The Unexpected Inheritance of Inspector Chopra,Vaseem Khan,https://www.goodreads.com/book/show/24717411-the-unexpected-inheritance-of-inspector-chopra?from_search=true&from_srp=true&qid=FmvyCmOylE&rank=1
Meet Me at the Cupcake Cafe,Jenny Colgan,https://www.goodreads.com/book/show/10134852-meet-me-at-the-cupcake-caf?from_search=true&from_srp=true&qid=6yPZUXuUef&rank=1
The Prophets,Robert Jones Jr.,https://www.goodreads.com/book/show/52576333-the-prophets?from_search=true&from_srp=true&qid=8CAgyqMBW2&rank=1
Galapagos,Kurt Vonnegut,https://www.goodreads.com/book/show/9934441-galapagos?from_search=true&from_srp=true&qid=JmvaaSU2yT&rank=3
Summer Island,Kristin Hannah,https://www.goodreads.com/book/show/40389026-summer-island?from_search=true&from_srp=true&qid=bSboyMhIo9&rank=1
Robinson Crusoe,Daniel Defoe,https://www.goodreads.com/book/show/2932.Robinson_Crusoe?from_search=true&from_srp=true&qid=RECLzHrfSI&rank=16
Slay,Brittney Morris,https://www.goodreads.com/book/show/43723509-slay?from_search=true&from_srp=true&qid=3igrAD36bh&rank=1
No One Is Talking About This,Patricia Lockwood,https://www.goodreads.com/book/show/53733106-no-one-is-talking-about-this?from_search=true&from_srp=true&qid=jv1KbdUeaU&rank=1
Great Expectations,Charles Dickens,https://www.goodreads.com/book/show/1781022.Great_Expectations_by_Charles_Dickens_Fiction_Classics?from_search=true&from_srp=true&qid=ubinUTFTRo&rank=4
The Best of Us,Robyn Carr,https://www.goodreads.com/book/show/40244951-the-best-of-us?from_search=true&from_srp=true&qid=viT8NFDXGO&rank=1
The Incredible Winston Browne,Sean Dietrich,https://www.goodreads.com/book/show/52610674-the-incredible-winston-browne?from_search=true&from_srp=true&qid=eoxyk4TZPd&rank=1
Summer by the Sea,Susan Wiggs,https://www.goodreads.com/book/show/120069.Summer_by_the_Sea?from_search=true&from_srp=true&qid=qA3b1MSUxK&rank=2
My Year Abroad,Chang-rae Lee,https://www.goodreads.com/book/show/55333981-my-year-abroad?from_search=true&from_srp=true&qid=uYPNeaBWMJ&rank=1
One Tuesday Morning,Karen Kingsbury,https://www.goodreads.com/book/show/97862.One_Tuesday_Morning?from_search=true&from_srp=true&qid=ghZLsdKjYo&rank=1
The Restoration of Celia Fairchild,Marie Bostwick,https://www.goodreads.com/book/show/53914958-the-restoration-of-celia-fairchild?from_search=true&from_srp=true&qid=QDu8c2Rtuk&rank=1
Mind Tryst,Robyn Carr,https://www.goodreads.com/book/show/19241348-mind-tryst?from_search=true&from_srp=true&qid=eyP1D7b32e&rank=1
The Girl in the Garden,Kamala Nair,https://www.goodreads.com/book/show/9632886-the-girl-in-the-garden?from_search=true&from_srp=true&qid=Z7dMvH0NoV&rank=1
The Picture of Dorian Gray,Oscar Wilde,https://www.goodreads.com/book/show/58207214-the-picture-of-dorian-gray-by-oscar-wilde?from_search=true&from_srp=true&qid=xctGfDiNUn&rank=12
Lunch with Buddha,Roland Merullo,https://www.goodreads.com/book/show/16069313-lunch-with-buddha?from_search=true&from_srp=true&qid=cDlxV3ltP9&rank=1
Little Women,Louisa May Alcott,https://www.goodreads.com/book/show/2743418-little-women-louisa-may-alcott?from_search=true&from_srp=true&qid=l4tJmfZu2l&rank=5
The Mistress,Danielle Steel,https://www.goodreads.com/book/show/29974914-the-mistress?from_search=true&from_srp=true&qid=LuuUE8xcGf&rank=1
Utopia Avenue,David Mitchell,https://www.goodreads.com/book/show/52597312-utopia-avenue?from_search=true&from_srp=true&qid=lVMkJvnup9&rank=1
"God, No!",Penn Jillette,https://www.goodreads.com/book/show/8495145-god-no-signs-you-may-already-be-an-atheist-and-other-magical-tales?from_search=true&from_srp=true&qid=guIdtkINGs&rank=1
Say Goodbye for Now,Catherine Ryan Hyde,https://www.goodreads.com/book/show/30184217-say-goodbye-for-now?from_search=true&from_srp=true&qid=dklHVqVqlr&rank=1
Plainsong,Kent Haruf,https://www.goodreads.com/book/show/77156.Plainsong?from_search=true&from_srp=true&qid=RKEGD9gLra&rank=3
The Prisoner's Wife,Maggie Brookes,https://www.goodreads.com/book/show/50368444-the-prisoner-s-wife?from_search=true&from_srp=true&qid=1UXvw8hhyQ&rank=1
The Bitter and Sweet of Cherry Season,Molly Fader,https://www.goodreads.com/book/show/49978131-the-bitter-and-sweet-of-cherry-season?from_search=true&from_srp=true&qid=Hy8Lpr6tiA&rank=1
Sunrise by the Sea,Jenny Colgan,https://www.goodreads.com/book/show/55276595-sunrise-by-the-sea?from_search=true&from_srp=true&qid=SY8sx5uCAa&rank=1
On the Beach,Nevil Shute,https://www.goodreads.com/book/show/38180.On_the_Beach?from_search=true&from_srp=true&qid=RlCaJjtx3z&rank=2
We Run the Tides,Vendela Vida,https://www.goodreads.com/book/show/53402121-we-run-the-tides?from_search=true&from_srp=true&qid=71BI3zgpkr&rank=1
Dancing at the Rascal Fair,Ivan Doig,https://www.goodreads.com/book/show/122311.Dancing_at_the_Rascal_Fair?from_search=true&from_srp=true&qid=4hsdiuhnIG&rank=2
A Dog's Way Home,W. Bruce Cameron,https://www.goodreads.com/book/show/35130968-a-dog-s-way-home?from_search=true&from_srp=true&qid=qCQzLY7Wfu&rank=3
Killing Rommel,Steven Pressfield,https://www.goodreads.com/book/show/1536419.Killing_Rommel?from_search=true&from_srp=true&qid=m7MMgmVly2&rank=1
Nocturnes,Kazuo Ishiguro,https://www.goodreads.com/book/show/4772110-nocturnes?from_search=true&from_srp=true&qid=PHm65MvKXL&rank=1
The Railway Children,E. Nesbit,https://www.goodreads.com/book/show/164531.The_Railway_Children?from_search=true&from_srp=true&qid=imtAdfHNhv&rank=1
Falling Home,Karen White,https://www.goodreads.com/book/show/9954179-falling-home?from_search=true&from_srp=true&qid=6J9TUGMd3h&rank=1
Musical Chairs,Amy Poeppel,https://www.goodreads.com/book/show/52753733-musical-chairs?from_search=true&from_srp=true&qid=EOQhpo3dLl&rank=1
And They Called It Camelot,Stephanie Marie Thornton,https://www.goodreads.com/book/show/52198084-and-they-called-it-camelot?from_search=true&from_srp=true&qid=MZuDARBmdL&rank=1
The Memory Collectors,Kim Neville,https://www.goodreads.com/book/show/54303938-the-memory-collectors?from_search=true&from_srp=true&qid=JoiEM57S76&rank=1
The Removed,Brandon Hobson,https://www.goodreads.com/book/show/53441181-the-removed?from_search=true&from_srp=true&qid=0ahU2Hew73&rank=1
Silent Night,Danielle Steel,https://www.goodreads.com/book/show/40655468-silent-night?from_search=true&from_srp=true&qid=C7ytTStWjF&rank=1
True Devotion,Dee Henderson,https://www.goodreads.com/book/show/359455.True_Devotion?from_search=true&from_srp=true&qid=Ilyub3zqkB&rank=1
Maggie,Charles Martin,https://www.goodreads.com/book/show/129562.Maggie?from_search=true&from_srp=true&qid=jPD0dGZxQ4&rank=1
Mutant Message Down Under,Marlo Morgan,https://www.goodreads.com/book/show/32349.Mutant_Message_Down_Under?from_search=true&from_srp=true&qid=WAzX5ZJUh3&rank=2
Meg and Jo,Virginia Kantra,https://www.goodreads.com/book/show/45899334-meg-and-jo?from_search=true&from_srp=true&qid=aPwdNO7F1j&rank=1
"Dear Haiti, Love Alaine","Maika Moulite, Maritza Moulite",https://www.goodreads.com/book/show/41861731-dear-haiti-love-alaine?from_search=true&from_srp=true&qid=5IJDZB7BsZ&rank=1
Saving Ruby King,Catherine Adel West,https://www.goodreads.com/book/show/44131181-saving-ruby-king?from_search=true&from_srp=true&qid=RIFkYkI4ev&rank=1
The Secrets of Love Story Bridge,Phaedra Patrick,https://www.goodreads.com/book/show/45422563-the-secrets-of-love-story-bridge?from_search=true&from_srp=true&qid=igf1tlkAS8&rank=1
The Other Windsor Girl,Georgie Blalock,https://www.goodreads.com/book/show/43884183-the-other-windsor-girl?from_search=true&from_srp=true&qid=y283elsYaT&rank=1
Ellie and the Harpmaker,Hazel Prior,https://www.goodreads.com/book/show/40611133-ellie-and-the-harpmaker?from_search=true&from_srp=true&qid=MuRPLPwdpt&rank=1
Dark Horses,Susan Mihalic,https://www.goodreads.com/book/show/50892208-dark-horses?from_search=true&from_srp=true&qid=bC6zo22Iet&rank=1
I Was Told It Would Get Easier,Abbi Waxman,https://www.goodreads.com/book/show/49348458-i-was-told-it-would-get-easier?from_search=true&from_srp=true&qid=EIXAcO3tVt&rank=1
"Black Girl, Call Home",Jasmine Mans,https://www.goodreads.com/book/show/54359466-black-girl-call-home?from_search=true&from_srp=true&qid=OcLG77mn3T&rank=1
