,Audible Title,Audible Subtitle,Audible Author,Audible Link,Image Link,Audible Category
0,The Authenticity Project,A Novel,Clare Pooley,https://www.audible.com/pd/The-Authenticity-Project-Audiobook/0593166027?qid=1631133851&sr=1-1&ref=a_special-p_c3_lProduct_1_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/41aa3+CMrWL._SL500_.jpg,Fiction
1,Miss Benson's Beetle,A Novel,Rachel Joyce,https://www.audible.com/pd/Miss-Bensons-Beetle-Audiobook/0593339932?qid=1631133851&sr=1-2&ref=a_special-p_c3_lProduct_1_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/61XYLkqQtUL._SL500_.jpg,Fiction
2,A Single Thread,A Novel,Tracy Chevalier,https://www.audible.com/pd/A-Single-Thread-Audiobook/0593149173?qid=1631133851&sr=1-3&ref=a_special-p_c3_lProduct_1_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51If-JK1hzL._SL500_.jpg,Fiction
3,The Secret Life of Bees,,Sue Monk Kidd,https://www.audible.com/pd/The-Secret-Life-of-Bees-Audiobook/B002V0JXZA?qid=1631133851&sr=1-4&ref=a_special-p_c3_lProduct_1_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51Z8H0Cj1tL._SL500_.jpg,Fiction
4,Sparks Like Stars,A Novel,Nadia Hashimi,https://www.audible.com/pd/Sparks-Like-Stars-Audiobook/0063008319?qid=1631133851&sr=1-5&ref=a_special-p_c3_lProduct_1_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/517m9+hEn2L._SL500_.jpg,Fiction
5,Interior Chinatown,A Novel,Charles Yu,https://www.audible.com/pd/Interior-Chinatown-Audiobook/0593148711?qid=1631133851&sr=1-6&ref=a_special-p_c3_lProduct_1_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51ZboVW-bBL._SL500_.jpg,Fiction
6,A Summer in Sonoma,A Novel,Robyn Carr,https://www.audible.com/pd/A-Summer-in-Sonoma-Audiobook/1488210187?qid=1631133851&sr=1-7&ref=a_special-p_c3_lProduct_1_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51MhYNVS1yL._SL500_.jpg,Fiction
7,Plain Bad Heroines,A Novel,Emily M. Danforth,https://www.audible.com/pd/Plain-Bad-Heroines-Audiobook/0062942883?qid=1631133851&sr=1-8&ref=a_special-p_c3_lProduct_1_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51nrc0L4imL._SL500_.jpg,Fiction
8,The Ex Talk,,Rachel Lynn Solomon,https://www.audible.com/pd/The-Ex-Talk-Audiobook/0593346742?qid=1631133851&sr=1-9&ref=a_special-p_c3_lProduct_1_9&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51s1I8cPG3L._SL500_.jpg,Fiction
9,Devils,,Fyodor Dostoevsky,https://www.audible.com/pd/Devils-Audiobook/B00BWUBFM4?qid=1631133851&sr=1-10&ref=a_special-p_c3_lProduct_1_10&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=W8VVKK3S5R80DS7K0BAY,https://m.media-amazon.com/images/I/51LPdkOAISL._SL500_.jpg,Fiction
