Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
The Huntress,A Novel,Kate Quinn,https://www.audible.com/pd/The-Huntress-Audiobook/006289482X?ref=a_ep_black-_c10_lProduct_1_1&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51TptSvhIWL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/40245700-the-huntress?from_search=true&from_srp=true&qid=nmG7YpQRK2&rank=2,https://www.amazon.com/The-Huntress-Kate-Quinn-audiobook/dp/B07GXZNPSB/ref=sr_1_1?keywords=The+Huntress+Kate+Quinn&qid=1637874065&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B07GXZNPSB%2CB089WHV9Y7%2CB06Y4DMCTD%2CB00E9E3GWC%2CB01CUK3V76%2CB00T3MYSFE%2CB07KYXGK1Y%2CB09F5312NL%2CB00WAFOSE2%2CB07QCD7ZX1%2CB00H9G5WME%2CB072LXJJSF%2CB00UXHNWLE%2CB08VF7YN45%2CB00TSQFKCU%2CB091FYFCZB&srpt=ABIS_EBOOKS&tag=listenerslist-20,4.27,"103,993"
Mrs. Everything,A Novel,Jennifer Weiner,https://www.audible.com/pd/Mrs-Everything-Audiobook/1508251800?ref=a_ep_black-_c10_lProduct_1_2&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/41chzE2cibL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/41592780-mrs-everything?from_search=true&from_srp=true&qid=IJKl0vpTJT&rank=1,https://www.amazon.com/Mrs-Everything-Jennifer-Weiner-audiobook/dp/B07KGHXY7C/ref=sr_1_1?keywords=Mrs.+Everything+Jennifer+Weiner&qid=1637874067&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B07KGHXY7C%2CB07Z8GT4VK%2CB074NGBHFT%2CB07J1SJH6M%2CB00XWUS6RY&tag=listenerslist-20,3.85,"74,789"
The Girl with the Louding Voice,A Novel,Abi Daré,https://www.audible.com/pd/The-Girl-with-the-Louding-Voice-Audiobook/0593168720?ref=a_ep_black-_c10_lProduct_1_3&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51e5t6MwTTL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/50214741-the-girl-with-the-louding-voice?from_search=true&from_srp=true&qid=n8cVC5ksaU&rank=4,https://www.amazon.com/Girl-Louding-Voice-Novel/dp/B082FRDSM4/ref=sr_1_1?keywords=The+Girl+with+the+Louding+Voice+Abi+Dar%C3%A9&qid=1637874069&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B082FRDSM4%2CB084R8QSPP%2CB00N556MH2&tag=listenerslist-20,4.46,"88,694"
The Vixen,A Novel,Francine Prose,https://www.audible.com/pd/The-Vixen-Audiobook/0063012170?ref=a_ep_black-_c10_lProduct_1_4&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51o2ygZqchS._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/55507033-the-vixen?from_search=true&from_srp=true&qid=Fdu8lcMhOc&rank=1,https://www.amazon.com/The-Vixen-A-Novel/dp/B08LMN1CQD/ref=sr_1_1?keywords=The+Vixen+Francine+Prose&qid=1637874072&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B08LMN1CQD%2CB07CGHSJFB%2CB00J4O9L0S%2CB07GZYVSFC%2CB07F9695WN%2CB01KYFSLM4%2CB00G4JIAT4&srpt=ABIS_BOOK&tag=listenerslist-20,3.48,"1,327"
Manhattan Beach,A Novel,Jennifer Egan,https://www.audible.com/pd/Manhattan-Beach-Audiobook/B074TWR54G?ref=a_ep_black-_c10_lProduct_1_5&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/519xjcvTg-L._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/34467031-manhattan-beach?from_search=true&from_srp=true&qid=TR7HjAh3YL&rank=7,https://www.amazon.com/Manhattan-Beach-Jennifer-Egan-audiobook/dp/B074TX2SH7/ref=sr_1_1?keywords=Manhattan+Beach+Jennifer+Egan&qid=1637874074&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B074TX2SH7%2CB07FYHPPPX%2CB079YGPDKK%2CB07N1W2FS6%2CB000VOQV2Q%2CB008RO07WW%2CB00740L5GM%2CB077Y5KVZL%2CB099CFHSBJ%2CB007Z9691S%2CB074F3BX79&srpt=ABIS_BOOK&tag=listenerslist-20,3.62,"78,861"
Golden Girl,,Elin Hilderbrand,https://www.audible.com/pd/Golden-Girl-Audiobook/1549117378?ref=a_ep_black-_c10_lProduct_1_6&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51vCBPJyzXL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/55643278-golden-girl?from_search=true&from_srp=true&qid=P4GSlvnh2X&rank=1,https://www.amazon.com/Golden-Girl/dp/B08YLK6W85/ref=sr_1_1?keywords=Golden+Girl+Elin+Hilderbrand&qid=1637874076&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B08YLK6W85%2CB094Q4NMPJ%2CB005745HHK%2CB06Y2DV29V%2CB00BWZ3J8C%2CB00D2YFZWE%2CB07PXTX9MQ%2CB088798Q2H%2CB08KYFZ3T3%2CB00JEI6S3M%2CB08KFH2WY6%2CB008EPN28A%2CB001C1MT8C%2CB001B2MY28%2CB00A04RHY8%2CB01D53X7H6&tag=listenerslist-20,4.23,"50,390"
"In Delos, You Cannot Die",,Javier Ruescas,https://www.audible.com/pd/In-Delos-You-Cannot-Die-Audiobook/B095X9LZ73?ref=a_ep_black-_c10_lProduct_1_7&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51OU-0S726S._SL500_.jpg,"Fiction, $5 Titles",,https://www.amazon.com/In-Delos-You-Cannot-Die/dp/B095X9N5VC/ref=sr_1_1?keywords=In+Delos%2C+You+Cannot+Die+Javier+Ruescas&qid=1637874077&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B095X9N5VC%2CB08N5DZLML&srpt=ABIS_BOOK&tag=listenerslist-20,,
Black Girls Must Die Exhausted,"A Novel (Black Girls Must Die Exhausted, Book 1)",Jayne Allen,https://www.audible.com/pd/Black-Girls-Must-Die-Exhausted-Audiobook/0063143534?ref=a_ep_black-_c10_lProduct_1_8&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/61YzZ3procL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/56645992-black-girls-must-die-exhausted?from_search=true&from_srp=true&qid=e5I8LPDPyZ&rank=1,https://www.amazon.com/Black-Girls-Must-Die-Exhausted/dp/B08W5DWLT4/ref=sr_1_1?keywords=Black+Girls+Must+Die+Exhausted+Jayne+Allen&qid=1637874080&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B08W5DWLT4%2CB095L1JKJ1%2CB07JN73QP2&tag=listenerslist-20,4.04,"2,065"
The Secrets of Latimer House,,Jules Wake,https://www.audible.com/pd/The-Secrets-of-Latimer-House-Audiobook/B09DGNX2PW?ref=a_ep_black-_c10_lProduct_1_9&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/61NfsHsKmqL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/58181149-the-secrets-of-latimer-house?from_search=true&from_srp=true&qid=soRdsqSWsx&rank=1,https://www.amazon.com/The-Secrets-of-Latimer-House/dp/B09DGNQY93/ref=sr_1_1?keywords=The+Secrets+of+Latimer+House+Jules+Wake&qid=1637874082&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B09DGNQY93&tag=listenerslist-20,4.55,278
Extremely Loud and Incredibly Close,,Jonathan Safran Foer,https://www.audible.com/pd/Extremely-Loud-and-Incredibly-Close-Audiobook/B002UZMX7G?ref=a_ep_black-_c10_lProduct_1_10&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51IdzLGSqNL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/4588.Extremely_Loud_Incredibly_Close?from_search=true&from_srp=true&qid=mmzqvhZwMo&rank=3,https://www.amazon.com/Extremely-Loud-and-Incredibly-Close/dp/B0008KLPLU/ref=sr_1_1?keywords=Extremely+Loud+and+Incredibly+Close+Jonathan+Safran+Foer&qid=1637874085&qsid=141-7222607-6625441&s=audible&sr=1-1&sres=B0008KLPLU&srpt=ABIS_BOOK&tag=listenerslist-20,3.96,"405,173"
