Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
0,My Brilliant Friend,"The Neapolitan Novels, Book 1",Elena Ferrante,https://www.audible.com/pd/My-Brilliant-Friend-Audiobook/B00UG2V43Y?ref=a_ep_eureka_c10_lProduct_1_1&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51SareCmCFL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/35036409-my-brilliant-friend?from_search=true&from_srp=true&qid=T1mqrDudcm&rank=4,https://www.amazon.com/My-Brilliant-Friend-audiobook/dp/B00UI655AG/ref=sr_1_1?dchild=1&keywords=My+Brilliant+Friend+Elena+Ferrante&qid=1631651076&s=audible&sr=1-1&tag=listenerslist-20,3.97,239077
1,The Godfather,,"Mario Puzo, Francis Ford Coppola - introduction, Anthony Puzo - note, Robert J. Thompson - afterword",https://www.audible.com/pd/The-Godfather-Audiobook/B007JJSURA?ref=a_ep_eureka_c10_lProduct_1_2&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51Vg8SyXbWL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/51876297-the-godfather?from_search=true&from_srp=true&qid=Z6EUC67hA3&rank=1,https://www.amazon.com/The-Godfather-audiobook/dp/B007JSDY7W/ref=sr_1_1?dchild=1&keywords=The+Godfather+Mario+Puzo%2C+Francis+Ford+Coppola+-+%2C+Anthony+Puzo+-+%2C+Robert+J.+Thompson+-&qid=1631651079&s=audible&sr=1-1&tag=listenerslist-20,4.35,366089
2,A Tree Grows in Brooklyn,,Betty Smith,https://www.audible.com/pd/A-Tree-Grows-in-Brooklyn-Audiobook/B002UZMRGS?ref=a_ep_eureka_c10_lProduct_1_3&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/41oFklVIRTL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn?from_search=true&from_srp=true&qid=Qccqwaeuqj&rank=2,https://www.amazon.com/A-Tree-Grows-in-Brooklyn-audiobook/dp/B000AWGX7W/ref=sr_1_1?dchild=1&keywords=A+Tree+Grows+in+Brooklyn+Betty+Smith&qid=1631651083&s=audible&sr=1-1&tag=listenerslist-20,4.28,410911
3,Middlesex,,Jeffrey Eugenides,https://www.audible.com/pd/Middlesex-Audiobook/B002UUFUSU?ref=a_ep_eureka_c10_lProduct_1_4&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51KF-ejaSsL._SL500_.jpg,"Fiction, $7 Titles",https://www.goodreads.com/book/show/2187.Middlesex?from_search=true&from_srp=true&qid=Z97nz5AVyE&rank=5,https://www.amazon.com/Middlesex-Jeffrey-Eugenides-audiobook/dp/B00009KEJ6/ref=sr_1_1?dchild=1&keywords=Middlesex+Jeffrey+Eugenides&qid=1631651087&s=audible&sr=1-1&tag=listenerslist-20,4.01,605243
4,The Winter Sea,,Susanna Kearsley,https://www.audible.com/pd/The-Winter-Sea-Audiobook/B0054WHSWC?ref=a_ep_eureka_c10_lProduct_1_5&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51OKt+Nv7jL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/3392089-the-winter-sea?from_search=true&from_srp=true&qid=af3nsuU2PN&rank=1,https://www.amazon.com/The-Winter-Sea-Susanna-Kearsley-audiobook/dp/B005C7QV18/ref=sr_1_1?dchild=1&keywords=The+Winter+Sea+Susanna+Kearsley&qid=1631651091&s=audible&sr=1-1&tag=listenerslist-20,4.08,61197
5,The Iliad,The Fitzgerald Translation,"Homer, Robert Fitzgerald - translator",https://www.audible.com/pd/The-Iliad-Audiobook/B00HUWO1T2?ref=a_ep_eureka_c10_lProduct_1_6&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/415Q4WvN1iL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/7602384-the-iliad-and-the-odyssey?from_search=true&from_srp=true&qid=tLoZMASQwh&rank=5,https://www.amazon.com/The-Odyssey-audiobook/dp/B00HUC357Q/ref=sr_1_1?dchild=1&keywords=The+Iliad+Homer%2C+Robert+Fitzgerald+-&qid=1631651095&s=audible&sr=1-1&tag=listenerslist-20,4.05,66793
6,Moloka’i,,Alan Brennert,https://www.audible.com/pd/Molokai-Audiobook/B0037ASS9A?ref=a_ep_eureka_c10_lProduct_1_7&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/61jHYy0RtiL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/3273.Moloka_i?from_search=true&from_srp=true&qid=4MKt2zhE2K&rank=4,https://www.amazon.com/Molokai-Alan-Brennert-audiobook/dp/B0037B35VA/ref=sr_1_1?dchild=1&keywords=Moloka%E2%80%99i+Alan+Brennert&qid=1631651098&s=audible&sr=1-1&tag=listenerslist-20,4.15,118729
7,The Rosie Result,,Graeme Simsion,https://www.audible.com/pd/The-Rosie-Result-Audiobook/1980038465?ref=a_ep_eureka_c10_lProduct_1_8&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/41XGzz4QhpL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/41018628-the-rosie-result?from_search=true&from_srp=true&qid=ZrOjlBJMXi&rank=1,https://www.amazon.com/The-Rosie-Result-Graeme-Simsion-audiobook/dp/B07PP8TNMW/ref=sr_1_1?dchild=1&keywords=The+Rosie+Result+Graeme+Simsion&qid=1631651102&s=audible&sr=1-1&tag=listenerslist-20,4.04,32844
8,Norwegian by Night,,Derek B. Miller,https://www.audible.com/pd/Norwegian-by-Night-Audiobook/B00CJHPYPI?ref=a_ep_eureka_c10_lProduct_1_9&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/51vmIFRxkHL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/15775210-norwegian-by-night?from_search=true&from_srp=true&qid=xNY4lAqD9S&rank=1,https://www.amazon.com/Norwegian-by-Night-Derek-B-Miller-audiobook/dp/B00CLFWZLE/ref=sr_1_1?dchild=1&keywords=Norwegian+by+Night+Derek+B.+Miller&qid=1631651106&s=audible&sr=1-1&tag=listenerslist-20,3.93,13792
9,Paradise Lost,,John Milton,https://www.audible.com/pd/Paradise-Lost-Audiobook/B002V9Z6GG?ref=a_ep_eureka_c10_lProduct_1_10&pf_rd_p=864f7f87-0185-4230-a8d5-69d87a9477d6&pf_rd_r=T6GX5SJ1P557NH85YENA,https://m.media-amazon.com/images/I/61lERqg0DoL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/18881035-paradise-lost-by-john-milton?from_search=true&from_srp=true&qid=CahLFdBxCW&rank=1,https://www.amazon.com/Paradise-Lost-John-Milton-audiobook/dp/B002TS7XIS/ref=sr_1_1?dchild=1&keywords=Paradise+Lost+John+Milton&qid=1631651109&s=audible&sr=1-1&tag=listenerslist-20,3.81,149705
