Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Goodreads_Rating,Number_of_Ratings
This Tender Land,,William Kent Krueger,https://www.audible.com/pd/This-Tender-Land-Audiobook/1501903403?qid=1632673236&sr=1-1&ref=a_special-p_c3_lProduct_1_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51d7OTWDhwL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/25813942-this-tender-land?from_search=true&from_srp=true&qid=Ba0F5auaOq&rank=5,4.38,98253
The Neverending Story,,Michael Ende,https://www.audible.com/pd/The-Neverending-Story-Audiobook/B007OQ0S2I?qid=1632673236&sr=1-2&ref=a_special-p_c3_lProduct_1_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/61MciiwmUdL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/27712.The_Neverending_Story?from_search=true&from_srp=true&qid=PPE1DWWyXz&rank=3,4.15,183175
Writers & Lovers,A Novel,Lily King,https://www.audible.com/pd/Writers-Lovers-Audiobook/1094059293?qid=1632673236&sr=1-3&ref=a_special-p_c3_lProduct_1_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51w2PyM4UsL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/45289222-writers-lovers?from_search=true&from_srp=true&qid=prh0CZPRlB&rank=1,4.07,77809
At Home in Mitford,A Novel,Jan Karon,https://www.audible.com/pd/At-Home-in-Mitford-Audiobook/B002V8HKQG?qid=1632673236&sr=1-4&ref=a_special-p_c3_lProduct_1_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51tvZgxI9tL._SL500_.jpg,"Fiction, Mysteries & Thrillers",https://www.goodreads.com/book/show/71776.At_Home_in_Mitford?from_search=true&from_srp=true&qid=WUZCl9SIH2&rank=3,4.11,60816
Song of Solomon,,Toni Morrison,https://www.audible.com/pd/Song-of-Solomon-Audiobook/B07562946K?qid=1632673236&sr=1-5&ref=a_special-p_c3_lProduct_1_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/41meQmNGLuL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/11334.Song_of_Solomon?from_search=true&from_srp=true&qid=oFlMQkDyNB&rank=8,4.1,93741
Kristin Lavransdatter,,"Sigrid Undset, Tiina Nunnally - translator",https://www.audible.com/pd/Kristin-Lavransdatter-Audiobook/B06ZZLZCDF?qid=1632673236&sr=1-6&ref=a_special-p_c3_lProduct_1_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51kpcuIjRML._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/6217.Kristin_Lavransdatter?from_search=true&from_srp=true&qid=QHrd93cWOO&rank=2,4.29,9799
All the Pretty Horses,"The Border Trilogy, Book One",Cormac McCarthy,https://www.audible.com/pd/All-the-Pretty-Horses-Audiobook/B0036MQ89Q?qid=1632673236&sr=1-7&ref=a_special-p_c3_lProduct_1_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51DyUdS6Q5L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/469571.All_the_Pretty_Horses?from_search=true&from_srp=true&qid=G4leu0YUbr&rank=3,4.0,99634
The Lake House,,Kate Morton,https://www.audible.com/pd/The-Lake-House-Audiobook/B01187MRAE?qid=1632673236&sr=1-8&ref=a_special-p_c3_lProduct_1_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/61di9UZLO6L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/21104828-the-lake-house?from_search=true&from_srp=true&qid=d1PKdWTUF8&rank=3,4.05,104485
Conversations with Friends,A Novel,Sally Rooney,https://www.audible.com/pd/Conversations-with-Friends-Audiobook/B072Q2B7M4?qid=1632673236&sr=1-9&ref=a_special-p_c3_lProduct_1_9&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/41DTekX2n4L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/32187419-conversations-with-friends?from_search=true&from_srp=true&qid=efL6oKsMie&rank=1,3.83,200332
The Baker's Secret,A Novel,Stephen P. Kiernan,https://www.audible.com/pd/The-Bakers-Secret-Audiobook/B06XD975FB?qid=1632673236&sr=1-10&ref=a_special-p_c3_lProduct_1_10&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=QCFNGGTBPWA2S25Z48F6,https://m.media-amazon.com/images/I/51aJBv+mpyL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/40721934-the-baker-s-secret?from_search=true&from_srp=true&qid=nSWUsD7Gyp&rank=1,4.02,16121
