Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
0,The Handmaid's Tale: Special Edition,,"Margaret Atwood, Valerie Martin - essay",https://www.audible.com/pd/The-Handmaids-Tale-Special-Edition-Audiobook/B06XFW9YZ5?qid=1635711313&sr=1-1&ref=a_special-p_c3_lProduct_1_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51OfA9PvXnL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/45892952-the-handmaid-s-tale?from_search=true&from_srp=true&qid=mlxW2gdhgp&rank=1,,4.12,1650494
1,Slaughterhouse-Five,,Kurt Vonnegut,https://www.audible.com/pd/Slaughterhouse-Five-Audiobook/B015ELUYL4?qid=1635711313&sr=1-2&ref=a_special-p_c3_lProduct_1_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51AyV7rsScL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five?from_search=true&from_srp=true&qid=tIQdkdizGf&rank=9,,4.08,1213958
2,All Quiet on the Western Front,,Erich Maria Remarque,https://www.audible.com/pd/All-Quiet-on-the-Western-Front-Audiobook/B00478WP40?qid=1635711313&sr=1-3&ref=a_special-p_c3_lProduct_1_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51rYcvto30L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front?from_search=true&from_srp=true&qid=BW521DEZbV&rank=7,,4.0,379713
3,Life Expectancy,,Dean Koontz,https://www.audible.com/pd/Life-Expectancy-Audiobook/B002VA8RLQ?qid=1635711313&sr=1-4&ref=a_special-p_c3_lProduct_1_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/41HCRWaB1CL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/16435.Life_Expectancy?from_search=true&from_srp=true&qid=NejLhIdEJo&rank=2,,3.95,37125
4,The Divine Comedy,,"Clive James - translator, Dante Alighieri",https://www.audible.com/pd/The-Divine-Comedy-Audiobook/B00FMYXB96?qid=1635711313&sr=1-5&ref=a_special-p_c3_lProduct_1_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/41QQnlr3n6L._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/16234590-the-divine-comedy?from_search=true&from_srp=true&qid=lSt4hqRnrS&rank=1,,4.04,134955
5,"One for the Blackbird, One for the Crow",A Novel,Olivia Hawker,https://www.audible.com/pd/One-for-the-Blackbird-One-for-the-Crow-Audiobook/1721357408?qid=1635711313&sr=1-6&ref=a_special-p_c3_lProduct_1_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51iUnFTyqzL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/41692854-one-for-the-blackbird-one-for-the-crow?from_search=true&from_srp=true&qid=5D4DM0UKhj&rank=1,,4.2,31519
6,The Year of the Witching,,Alexis Henderson,https://www.audible.com/pd/The-Year-of-the-Witching-Audiobook/059321370X?qid=1635711313&sr=1-7&ref=a_special-p_c3_lProduct_1_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/617zGvgiWIL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/49789629-the-year-of-the-witching?from_search=true&from_srp=true&qid=HJxIAHr7cx&rank=1,,3.82,19582
7,The 7 ½ Deaths of Evelyn Hardcastle,,Stuart Turton,https://www.audible.com/pd/The-7-Deaths-of-Evelyn-Hardcastle-Audiobook/1541481151?qid=1635711313&sr=1-8&ref=a_special-p_c3_lProduct_1_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51xx4SbXnkL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/36337550-the-7-deaths-of-evelyn-hardcastle?from_search=true&from_srp=true&qid=RyEw8YciqU&rank=1,,3.88,201458
8,King Rat,The Epic Novel of War and Survival,James Clavell,https://www.audible.com/pd/King-Rat-Audiobook/B011SVAZ5Y?qid=1635711313&sr=1-9&ref=a_special-p_c3_lProduct_1_9&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/51YTWCkv1nL._SL500_.jpg,Fiction,https://www.goodreads.com/book/show/9827.King_Rat?from_search=true&from_srp=true&qid=p74dLUaIkr&rank=2,,4.15,35929
9,The Graveyard Book: Full-Cast Production,,Neil Gaiman,https://www.audible.com/pd/The-Graveyard-Book-Full-Cast-Production-Audiobook/B00LXHQO22?qid=1635711313&sr=1-10&ref=a_special-p_c3_lProduct_1_10&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=XZH7JBTX920XT5JN9TZ1,https://m.media-amazon.com/images/I/516MBV-Qq6L._SL500_.jpg,"Fiction, Kids & Teen",https://www.goodreads.com/book/show/24068185-the-graveyard-book?from_search=true&from_srp=true&qid=rvmtTbexim&rank=1,,4.13,483145
