Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
The Tattooist of Auschwitz,A Novel,Heather Morris,https://www.audible.com/pd/The-Tattooist-of-Auschwitz-Audiobook/B07BZC9GLC?ref=a_ep_vital-_c10_lProduct_1_1&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/5192ZvlVAkL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/38359036-the-tattooist-of-auschwitz?from_search=true&from_srp=true&qid=tBOhaKNoDu&rank=5,https://www.amazon.com/The-Tattooist-of-Auschwitz-audiobook/dp/B07BYXSLF4/ref=sr_1_1?dchild=1&keywords=The+Tattooist+of+Auschwitz+Heather+Morris&qid=1633878065&s=audible&sr=1-1&tag=listenerslist-20,4.26,610330,,,,,,,,"Fiction, $5 Titles"
The Things We Cannot Say,,Kelly Rimmer,https://www.audible.com/pd/The-Things-We-Cannot-Say-Audiobook/B07MBBHPQ5?ref=a_ep_vital-_c10_lProduct_1_2&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/513yvJ80aaL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/40899464-the-things-we-cannot-say?from_search=true&from_srp=true&qid=cuEp2ZDLLf&rank=1,https://www.amazon.com/The-Things-We-Cannot-Say-audiobook/dp/B07MRKPHKR/ref=sr_1_1?dchild=1&keywords=The+Things+We+Cannot+Say+Kelly+Rimmer&qid=1633878068&s=audible&sr=1-1&tag=listenerslist-20,4.51,74290,,,,,,,,"Fiction, $6 Titles"
The Last Kingdom,,Bernard Cornwell,https://www.audible.com/pd/The-Last-Kingdom-Audiobook/B00PRAGG2Y?ref=a_ep_vital-_c10_lProduct_1_3&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/615B35aH0mL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/68527.The_Last_Kingdom?from_search=true&from_srp=true&qid=4I3punnbeE&rank=1,https://www.amazon.com/The-Last-Kingdom-Bernard-Cornwell-audiobook/dp/B00PR9O76M/ref=sr_1_1?dchild=1&keywords=The+Last+Kingdom+Bernard+Cornwell&qid=1633878070&s=audible&sr=1-1&tag=listenerslist-20,4.24,83826,,,,,,,,"Fiction, Nonfiction, $5 Titles"
Room,A Novel,Emma Donoghue,https://www.audible.com/pd/Room-Audiobook/B0041PDAJI?ref=a_ep_vital-_c10_lProduct_1_4&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51YzqhnO2VL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/31685789-room?from_search=true&from_srp=true&qid=7sDeLMOQET&rank=2,https://www.amazon.com/Room-Emma-Donoghue-audiobook/dp/B00435FFO4/ref=sr_1_1?dchild=1&keywords=Room+Emma+Donoghue&qid=1633878072&s=audible&sr=1-1&tag=listenerslist-20,4.06,765951,,,,,,,,"Fiction, $7 Titles"
The Last Correspondent,,Soraya M. Lane,https://www.audible.com/pd/The-Last-Correspondent-Audiobook/1713542714?ref=a_ep_vital-_c10_lProduct_1_5&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51H0muIQ1JL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/53710674-the-last-correspondent?from_search=true&from_srp=true&qid=3WRfe8XRXR&rank=1,https://www.amazon.com/The-Last-Correspondent/dp/B089MCQBT2/ref=sr_1_1?dchild=1&keywords=The+Last+Correspondent+Soraya+M.+Lane&qid=1633878074&s=audible&sr=1-1&tag=listenerslist-20,4.13,9059,,,,,,,,"Fiction, Sci-Fi & Fantasy,  Kids & Teens, $7 Titles"
Lady Clementine,A Novel,Marie Benedict,https://www.audible.com/pd/Lady-Clementine-Audiobook/B082T3J1MH?ref=a_ep_vital-_c10_lProduct_1_6&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51j0bWh40GL._SL500_.jpg,"Fiction, Nonfiction, $5 Titles",https://www.goodreads.com/book/show/45007887-lady-clementine?from_search=true&from_srp=true&qid=mZk4155XF7&rank=1,https://www.amazon.com/Lady-Clementine-Marie-Benedict-audiobook/dp/B082T2W2PL/ref=sr_1_1?dchild=1&keywords=Lady+Clementine+Marie+Benedict&qid=1633878077&s=audible&sr=1-1&tag=listenerslist-20,3.75,12903,,,,,,,,"Fiction,  Kids & Teens, $5 Titles"
The Poisonwood Bible,,Barbara Kingsolver,https://www.audible.com/pd/The-Poisonwood-Bible-Audiobook/B002UZJJHI?ref=a_ep_vital-_c10_lProduct_1_7&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/41rSM21C23L._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible?from_search=true&from_srp=true&qid=DsEsAPfngr&rank=2,https://www.amazon.com/The-Poisonwood-Bible-audiobook/dp/B001AWVRU4/ref=sr_1_1?dchild=1&keywords=The+Poisonwood+Bible+Barbara+Kingsolver&qid=1633878079&s=audible&sr=1-1&tag=listenerslist-20,4.07,687144,,,,,,,,"Fiction, Sci-Fi & Fantasy, $5 Titles"
Less,,Andrew Sean Greer,https://www.audible.com/pd/Less-Audiobook/B0714BG8FG?ref=a_ep_vital-_c10_lProduct_1_8&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51LA7xW9UIL._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/39927096-less?from_search=true&from_srp=true&qid=NanIPtyFg2&rank=4,https://www.amazon.com/Less-Andrew-Sean-Greer-audiobook/dp/B0714BGV1V/ref=sr_1_1?dchild=1&keywords=Less+Andrew+Sean+Greer&qid=1633878081&s=audible&sr=1-1&tag=listenerslist-20,3.66,152261,,,,,,,,"Fiction,  Kids & Teens, $6 Titles"
"In Darkness, Look for Stars",,Clara Benson,https://www.audible.com/pd/In-Darkness-Look-for-Stars-Audiobook/B086VM211P?ref=a_ep_vital-_c10_lProduct_1_9&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/51a+7xS8okL._SL500_.jpg,"Fiction, $6 Titles",https://www.goodreads.com/book/show/50871634-in-darkness-look-for-stars?from_search=true&from_srp=true&qid=NmXRBhU4zp&rank=1,https://www.amazon.com/In-Darkness-Look-for-Stars/dp/B086VJ7KY1/ref=sr_1_1?dchild=1&keywords=In+Darkness%2C+Look+for+Stars+Clara+Benson&qid=1633878083&s=audible&sr=1-1&tag=listenerslist-20,4.23,1380,,,,,,,,"Mysteries & Thrillers, $5 Titles"
True Grit,,Charles Portis,https://www.audible.com/pd/True-Grit-Audiobook/B002V5GORK?ref=a_ep_vital-_c10_lProduct_1_10&pf_rd_p=1f7531fd-930e-47eb-a31c-cd8c02bac836&pf_rd_r=AG2GR6B4P9CR8YBCWEQZ,https://m.media-amazon.com/images/I/61QX3InGC-L._SL500_.jpg,"Fiction, $5 Titles",https://www.goodreads.com/book/show/257845.True_Grit?from_search=true&from_srp=true&qid=bTVpqPSwD0&rank=1,https://www.amazon.com/True-Grit-Charles-Portis-audiobook/dp/B000G6BJX0/ref=sr_1_1?dchild=1&keywords=True+Grit+Charles+Portis&qid=1633878086&s=audible&sr=1-1&tag=listenerslist-20,4.12,50084,,,,,,,,"Mysteries & Thrillers, $6 Titles"
