Book ID,Goodreads Link,Goodreads Rating,Number of Ratings
0,https://www.goodreads.com/book/show/55789067-the-authenticity-project?from_search=true&from_srp=true&qid=jJDjLBD9iz&rank=1,3.96,36881.0
1,https://www.goodreads.com/book/show/52674676-miss-benson-s-beetle?from_search=true&from_srp=true&qid=1jAU2tnzNO&rank=1,4.1,20271.0
2,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees?ac=1&from_search=true&qid=SIRAyoAm34&rank=2,4.07,1174626.0
3,https://www.goodreads.com/book/show/43943459-a-single-thread?from_search=true&from_srp=true&qid=VLuhmnInNd&rank=1,3.74,19287.0
4,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice?from_search=true&from_srp=true&qid=aZrfmFsptH&rank=2,4.27,3341776.0
5,https://www.goodreads.com/book/show/1549933.Roommates_Wanted?from_search=true&from_srp=true&qid=rz5jhsRjhu&rank=1,3.75,5909.0
6,https://www.goodreads.com/book/show/53746807-sparks-like-stars?from_search=true&from_srp=true&qid=z5uv4DLyAI&rank=1,4.35,5173.0
7,https://www.goodreads.com/book/show/3090348-devils?from_search=true&from_srp=true&qid=QcIOWH1UkL&rank=2,4.29,40994.0
8,https://www.goodreads.com/book/show/42933.Tai_Pan?from_search=true&from_srp=true&qid=rL6CKCbDmo&rank=3,4.27,48109.0
9,https://www.goodreads.com/book/show/44436221-interior-chinatown?from_search=true&from_srp=true&qid=fNnXcVj1xO&rank=1,4.04,31783.0
10,https://www.goodreads.com/book/show/9934441-galapagos?from_search=true&from_srp=true&qid=n6hnWMVnPh&rank=2,3.86,74505.0
11,https://www.goodreads.com/book/show/24717411-the-unexpected-inheritance-of-inspector-chopra?from_search=true&from_srp=true&qid=L30ybExvBn&rank=1,3.75,7108.0
12,https://www.goodreads.com/book/show/43723509-slay?from_search=true&from_srp=true&qid=Oso3SY7NAA&rank=1,4.27,10834.0
13,https://www.goodreads.com/book/show/7624133-a-summer-in-sonoma?from_search=true&from_srp=true&qid=jGluR8bCmh&rank=1,4.14,7678.0
14,https://www.goodreads.com/book/show/53415121-the-ex-talk?from_search=true&from_srp=true&qid=ewJGXiCWQH&rank=1,3.84,24114.0
15,https://www.goodreads.com/book/show/50496875-plain-bad-heroines?from_search=true&from_srp=true&qid=vtiMXacmCd&rank=1,3.67,10315.0
16,https://www.goodreads.com/book/show/32766483-the-bookshop-at-water-s-end?from_search=true&from_srp=true&qid=SSfuTkLVvW&rank=1,3.86,5474.0
17,https://www.goodreads.com/book/show/10134852-meet-me-at-the-cupcake-caf?from_search=true&from_srp=true&qid=WasPrbiiv7&rank=1,3.85,17564.0
18,https://www.goodreads.com/book/show/1781022.Great_Expectations_by_Charles_Dickens_Fiction_Classics?from_search=true&from_srp=true&qid=DxgHkAvSdi&rank=3,3.78,697173.0
19,https://www.goodreads.com/book/show/52576333-the-prophets?from_search=true&from_srp=true&qid=Otd0jG4xwY&rank=1,3.96,11517.0
20,https://www.goodreads.com/book/show/52610674-the-incredible-winston-browne?from_search=true&from_srp=true&qid=IT8cxrH5u7&rank=1,4.43,595.0
21,https://www.goodreads.com/book/show/12505.The_Idiot?from_search=true&from_srp=true&qid=bRhGo0Nw1T&rank=1,4.18,146714.0
22,https://www.goodreads.com/book/show/8495145-god-no-signs-you-may-already-be-an-atheist-and-other-magical-tales?from_search=true&from_srp=true&qid=I80qIPBoNC&rank=1,3.66,7543.0
23,https://www.goodreads.com/book/show/30184217-say-goodbye-for-now?from_search=true&from_srp=true&qid=BqX4o1Z0gP&rank=1,4.32,20637.0
24,https://www.goodreads.com/book/show/53733106-no-one-is-talking-about-this?from_search=true&from_srp=true&qid=tPBUTq6PcA&rank=1,3.69,11277.0
25,https://www.goodreads.com/book/show/40389026-summer-island?from_search=true&from_srp=true&qid=uyynJg70MY&rank=1,3.97,40462.0
26,https://www.goodreads.com/book/show/45422548-the-lost-orphan?from_search=true&from_srp=true&qid=SQ51tZUcpi&rank=1,4.02,14116.0
27,https://www.goodreads.com/book/show/120069.Summer_by_the_Sea?from_search=true&from_srp=true&qid=tYJVXSW6oh&rank=2,4.03,7673.0
28,https://www.goodreads.com/book/show/40244951-the-best-of-us?from_search=true&from_srp=true&qid=u7sWnXnrXu&rank=1,4.11,8479.0
29,https://www.goodreads.com/book/show/122311.Dancing_at_the_Rascal_Fair?from_search=true&from_srp=true&qid=JCvA08hpTA&rank=2,4.22,6214.0
30,https://www.goodreads.com/book/show/97862.One_Tuesday_Morning?from_search=true&from_srp=true&qid=mBZMDnfm3T&rank=1,4.38,18986.0
31,https://www.goodreads.com/book/show/52753733-musical-chairs?from_search=true&from_srp=true&qid=yK8CsXIL3F&rank=1,3.83,3767.0
32,https://www.goodreads.com/book/show/53146101-while-paris-slept?from_search=true&from_srp=true&qid=ePNg1jnI0X&rank=1,4.31,2693.0
33,https://www.goodreads.com/book/show/58207214-the-picture-of-dorian-gray-by-oscar-wilde?from_search=true&from_srp=true&qid=XvTsZDkR4H&rank=9,4.4,104.0
34,https://www.goodreads.com/book/show/52597312-utopia-avenue?from_search=true&from_srp=true&qid=75ElS8kEo1&rank=1,4.02,13972.0
35,https://www.goodreads.com/book/show/55333981-my-year-abroad?from_search=true&from_srp=true&qid=XUkyoJjvMs&rank=1,3.5,3613.0
36,https://www.goodreads.com/book/show/49978131-the-bitter-and-sweet-of-cherry-season?from_search=true&from_srp=true&qid=GvlkxAQX6T&rank=1,4.19,1158.0
37,https://www.goodreads.com/book/show/53914958-the-restoration-of-celia-fairchild?from_search=true&from_srp=true&qid=wSWMEXZeLs&rank=1,4.08,1717.0
38,https://www.goodreads.com/book/show/50368444-the-prisoner-s-wife?from_search=true&from_srp=true&qid=e8SVAkMNHU&rank=1,4.11,2100.0
39,https://www.goodreads.com/book/show/164531.The_Railway_Children?from_search=true&from_srp=true&qid=X7uxbHvSKy&rank=5,4.0,55079.0
40,https://www.goodreads.com/book/show/38180.On_the_Beach?from_search=true&from_srp=true&qid=Zp8qGhDp4q&rank=2,3.94,37948.0
41,https://www.goodreads.com/book/show/19241348-mind-tryst?from_search=true&from_srp=true&qid=G5E7GdfVcp&rank=1,3.95,972.0
42,https://www.goodreads.com/book/show/9954179-falling-home?from_search=true&from_srp=true&qid=GUpNgMK52G&rank=1,3.95,7448.0
43,https://www.goodreads.com/book/show/116449.The_Protector_s_War?from_search=true&from_srp=true&qid=yyGEwbv3MC&rank=1,3.98,8579.0
44,https://www.goodreads.com/book/show/16069313-lunch-with-buddha?from_search=true&from_srp=true&qid=8BUNRbkmDJ&rank=1,4.17,2023.0
45,https://www.goodreads.com/book/show/2743418-little-women-louisa-may-alcott?from_search=true&from_srp=true&qid=VKNpgGmNUq&rank=4,4.1,1823177.0
46,https://www.goodreads.com/book/show/29974914-the-mistress?from_search=true&from_srp=true&qid=Df1KaG9e9J&rank=1,3.85,9675.0
47,https://www.goodreads.com/book/show/2932.Robinson_Crusoe?from_search=true&from_srp=true&qid=Onytw4K9G7&rank=12,3.68,263737.0
48,https://www.goodreads.com/book/show/55276595-sunrise-by-the-sea?from_search=true&from_srp=true&qid=62xJhJ4IqA&rank=1,4.15,2095.0
49,https://www.goodreads.com/book/show/40655468-silent-night?from_search=true&from_srp=true&qid=zAtWTUGVwp&rank=1,4.08,5776.0
50,https://www.goodreads.com/book/show/45732027-fake-accounts?from_search=true&from_srp=true&qid=Zavu8BRoUt&rank=1,2.98,5135.0
51,https://www.goodreads.com/book/show/4772110-nocturnes?from_search=true&from_srp=true&qid=2M9fTVl09y&rank=1,3.49,20562.0
52,https://www.goodreads.com/book/show/77156.Plainsong?from_search=true&from_srp=true&qid=YtzQJBnTbY&rank=3,4.01,68611.0
53,https://www.goodreads.com/book/show/9632886-the-girl-in-the-garden?from_search=true&from_srp=true&qid=8w38U4ea0U&rank=1,3.8,2899.0
54,https://www.goodreads.com/book/show/35130968-a-dog-s-way-home?from_search=true&from_srp=true&qid=hicrJOZqsl&rank=3,4.2,11791.0
55,https://www.goodreads.com/book/show/32349.Mutant_Message_Down_Under?from_search=true&from_srp=true&qid=bNT8mKNamX&rank=2,3.76,18839.0
56,https://www.goodreads.com/book/show/54359466-black-girl-call-home?from_search=true&from_srp=true&qid=c9PBopUobW&rank=1,4.45,1485.0
57,https://www.goodreads.com/book/show/53441181-the-removed?from_search=true&from_srp=true&qid=PFZyRAV0cq&rank=1,3.39,8070.0
58,https://www.goodreads.com/book/show/54303938-the-memory-collectors?from_search=true&from_srp=true&qid=3Ebb0J8Pye&rank=1,3.75,1138.0
59,https://www.goodreads.com/book/show/43615778-your-house-will-pay?from_search=true&from_srp=true&qid=7buqbv63NA&rank=1,4.11,6361.0
60,https://www.goodreads.com/book/show/53402121-we-run-the-tides?from_search=true&from_srp=true&qid=QFC34wmSAP&rank=1,3.69,6154.0
61,https://www.goodreads.com/book/show/1536419.Killing_Rommel?from_search=true&from_srp=true&qid=ZSrtGpy3j8&rank=1,3.96,3566.0
62,https://www.goodreads.com/book/show/129562.Maggie?from_search=true&from_srp=true&qid=7mMpYzM1xC&rank=1,4.29,3876.0
63,https://www.goodreads.com/book/show/359455.True_Devotion?from_search=true&from_srp=true&qid=GnJRmvjlnX&rank=1,4.25,12645.0
64,https://www.goodreads.com/book/show/45899334-meg-and-jo?from_search=true&from_srp=true&qid=gzg0foDqQA&rank=1,3.68,5436.0
65,https://www.goodreads.com/book/show/51194669-the-silent-treatment?from_search=true&from_srp=true&qid=kKFlzzGN4T&rank=1,3.76,4591.0
66,https://www.goodreads.com/book/show/35889209-white-rose-black-forest?from_search=true&from_srp=true&qid=Sox2rNeAAG&rank=1,4.08,53909.0
67,https://www.goodreads.com/book/show/45422563-the-secrets-of-love-story-bridge?from_search=true&from_srp=true&qid=Av74R4ZlP5&rank=1,3.64,2517.0
68,https://www.goodreads.com/book/show/40611133-ellie-and-the-harpmaker?from_search=true&from_srp=true&qid=Rk25caEOBn&rank=1,3.84,5218.0
69,https://www.goodreads.com/book/show/54287614-the-jam-and-jelly-nook?from_search=true&from_srp=true&qid=5dbVnKgJ1B&rank=1,4.55,383.0
