Unnamed: 0,Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Book ID,Goodreads Title,Goodreads Author,Goodreads_Link,Goodreads Search URL,Goodreads_Rating,Number_of_Ratings,Ratings combination,Goodreads search
0,The Authenticity Project,A Novel,Clare Pooley,https://www.audible.com/pd/The-Authenticity-Project-Audiobook/0593166027?qid=1630755486&sr=1-1&ref=a_special-p_c3_lProduct_1_1&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/41aa3+CMrWL._SL500_.jpg,Fiction,0,The Authenticity Project,Clare Pooley,https://www.goodreads.com/book/show/55789067-the-authenticity-project?from_search=true&from_srp=true&qid=jJDjLBD9iz&rank=1,https://www.goodreads.com/search?q=The+Authenticity+Project+Clare+Pooley,3.96,36881,3.96,https://www.goodreads.com/search?q=The Authenticity Project+Clare Pooley
,Miss Benson's Beetle,A Novel,Rachel Joyce,https://www.audible.com/pd/Miss-Bensons-Beetle-Audiobook/0593339932?qid=1630755486&sr=1-2&ref=a_special-p_c3_lProduct_1_2&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/61XYLkqQtUL._SL500_.jpg,Fiction,1,,,https://www.goodreads.com/book/show/52674676-miss-benson-s-beetle?from_search=true&from_srp=true&qid=1jAU2tnzNO&rank=1,,4.1,20273,4,https://www.goodreads.com/search?q=Miss Benson's Beetle+Rachel Joyce
,The Secret Life of Bees,,Sue Monk Kidd,https://www.audible.com/pd/The-Secret-Life-of-Bees-Audiobook/B002V0JXZA?qid=1630755486&sr=1-3&ref=a_special-p_c3_lProduct_1_3&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51Z8H0Cj1tL._SL500_.jpg,Fiction,2,,,https://www.goodreads.com/book/show/37435.The_Secret_Life_of_Bees?ac=1&from_search=true&qid=SIRAyoAm34&rank=2,,4.07,1174635,4,https://www.goodreads.com/search?q=The Secret Life of Bees+Sue Monk Kidd
1,A Single Thread,A Novel,Tracy Chevalier,https://www.audible.com/pd/A-Single-Thread-Audiobook/0593149173?qid=1630755486&sr=1-4&ref=a_special-p_c3_lProduct_1_4&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51If-JK1hzL._SL500_.jpg,Fiction,3,A Single Thread,Tracy Chevalier,https://www.goodreads.com/book/show/43943459-a-single-thread?from_search=true&from_srp=true&qid=VLuhmnInNd&rank=1,https://www.goodreads.com/search?q=A+Single+Thread+Tracy+Chevalier,3.74,19287,3.74,https://www.goodreads.com/search?q=A Single Thread+Tracy Chevalier
,Pride and Prejudice [Blackstone Audio],,Jane Austen,https://www.audible.com/pd/Pride-and-Prejudice-Blackstone-Audio-Audiobook/B004L72YX4?qid=1630755486&sr=1-5&ref=a_special-p_c3_lProduct_1_5&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51OWsRcy0UL._SL500_.jpg,Fiction,4,,,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice?from_search=true&from_srp=true&qid=aZrfmFsptH&rank=2,,4.27,3341841,4,https://www.goodreads.com/search?q=Pride and Prejudice [Blackstone Audio]+Jane Austen
2,Roommates Wanted,,Lisa Jewell,https://www.audible.com/pd/Roommates-Wanted-Audiobook/1974980499?qid=1630755486&sr=1-6&ref=a_special-p_c3_lProduct_1_6&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/61aTU0SOMqL._SL500_.jpg,Fiction,5,Roommates Wanted,Lisa Jewell,https://www.goodreads.com/book/show/1549933.Roommates_Wanted?from_search=true&from_srp=true&qid=rz5jhsRjhu&rank=1,https://www.goodreads.com/search?q=Roommates+Wanted+Lisa+Jewell,3.75,5909,3.75,https://www.goodreads.com/search?q=Roommates Wanted+Lisa Jewell
3,Sparks Like Stars,A Novel,Nadia Hashimi,https://www.audible.com/pd/Sparks-Like-Stars-Audiobook/0063008319?qid=1630755486&sr=1-7&ref=a_special-p_c3_lProduct_1_7&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/517m9+hEn2L._SL500_.jpg,Fiction,6,Sparks Like Stars,Nadia Hashimi,https://www.goodreads.com/book/show/53746807-sparks-like-stars?from_search=true&from_srp=true&qid=z5uv4DLyAI&rank=1,https://www.goodreads.com/search?q=Sparks+Like+Stars+Nadia+Hashimi,4.35,5173,4.35,https://www.goodreads.com/search?q=Sparks Like Stars+Nadia Hashimi
,Devils,,Fyodor Dostoevsky,https://www.audible.com/pd/Devils-Audiobook/B00BWUBFM4?qid=1630755486&sr=1-8&ref=a_special-p_c3_lProduct_1_8&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51LPdkOAISL._SL500_.jpg,Fiction,7,,,https://www.goodreads.com/book/show/3090348-devils?from_search=true&from_srp=true&qid=QcIOWH1UkL&rank=2,,4.29,40995,4,https://www.goodreads.com/search?q=Devils+Fyodor Dostoevsky
4,Tai-Pan,"The Epic Novel of the Founding of Hong Kong: The Asian Saga, Book 2",James Clavell,https://www.audible.com/pd/Tai-Pan-Audiobook/B00UO09YP8?qid=1630755486&sr=1-9&ref=a_special-p_c3_lProduct_1_9&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/418WImfN-YL._SL500_.jpg,Fiction,8,"Tai-Pan (Asian Saga, #2)",James Clavell,https://www.goodreads.com/book/show/42933.Tai_Pan?from_search=true&from_srp=true&qid=rL6CKCbDmo&rank=3,https://www.goodreads.com/search?q=Tai-Pan+James+Clavell,4.27,48109,4.27,https://www.goodreads.com/search?q=Tai-Pan+James Clavell
9,Interior Chinatown,A Novel,Charles Yu,https://www.audible.com/pd/Interior-Chinatown-Audiobook/0593148711?qid=1630755486&sr=1-10&ref=a_special-p_c3_lProduct_1_10&pf_rd_p=f1c3032f-59e7-4b45-9026-e60372f10b98&pf_rd_r=MFH2K5SJ5WKTF1FQ1A8B,https://m.media-amazon.com/images/I/51ZboVW-bBL._SL500_.jpg,Fiction,9,Interior Chinatown,Charles Yu,https://www.goodreads.com/book/show/44436221-interior-chinatown?from_search=true&from_srp=true&qid=fNnXcVj1xO&rank=1,https://www.goodreads.com/search?q=Interior+Chinatown+Charles+Yu,4.04,31783,4.04,https://www.goodreads.com/search?q=Interior Chinatown+Charles Yu
