Audible_Title,Audible_Subtitle,Audible_Author,Audible_Link,Image_Link,Audible_Category,Goodreads_Link,Amazon_Link,Goodreads_Rating,Number_of_Ratings
The Huntress,A Novel,Kate Quinn,https://www.audible.com/pd/The-Huntress-Audiobook/006289482X?ref=a_ep_black-_c10_lProduct_1_1&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51TptSvhIWL._SL500_.jpg,"Fiction, $6 Titles",,,,
Mrs. Everything,A Novel,Jennifer Weiner,https://www.audible.com/pd/Mrs-Everything-Audiobook/1508251800?ref=a_ep_black-_c10_lProduct_1_2&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/41chzE2cibL._SL500_.jpg,"Fiction, $6 Titles",,,,
The Girl with the Louding Voice,A Novel,Abi Daré,https://www.audible.com/pd/The-Girl-with-the-Louding-Voice-Audiobook/0593168720?ref=a_ep_black-_c10_lProduct_1_3&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51e5t6MwTTL._SL500_.jpg,"Fiction, $5 Titles",,,,
The Vixen,A Novel,Francine Prose,https://www.audible.com/pd/The-Vixen-Audiobook/0063012170?ref=a_ep_black-_c10_lProduct_1_4&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51o2ygZqchS._SL500_.jpg,"Fiction, $5 Titles",,,,
Manhattan Beach,A Novel,Jennifer Egan,https://www.audible.com/pd/Manhattan-Beach-Audiobook/B074TWR54G?ref=a_ep_black-_c10_lProduct_1_5&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/519xjcvTg-L._SL500_.jpg,"Fiction, $6 Titles",,,,
Golden Girl,,Elin Hilderbrand,https://www.audible.com/pd/Golden-Girl-Audiobook/1549117378?ref=a_ep_black-_c10_lProduct_1_6&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51vCBPJyzXL._SL500_.jpg,"Fiction, $6 Titles",,,,
"In Delos, You Cannot Die",,Javier Ruescas,https://www.audible.com/pd/In-Delos-You-Cannot-Die-Audiobook/B095X9LZ73?ref=a_ep_black-_c10_lProduct_1_7&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51OU-0S726S._SL500_.jpg,"Fiction, $5 Titles",,,,
Black Girls Must Die Exhausted,"A Novel (Black Girls Must Die Exhausted, Book 1)",Jayne Allen,https://www.audible.com/pd/Black-Girls-Must-Die-Exhausted-Audiobook/0063143534?ref=a_ep_black-_c10_lProduct_1_8&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/61YzZ3procL._SL500_.jpg,"Fiction, $5 Titles",,,,
The Secrets of Latimer House,,Jules Wake,https://www.audible.com/pd/The-Secrets-of-Latimer-House-Audiobook/B09DGNX2PW?ref=a_ep_black-_c10_lProduct_1_9&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/61NfsHsKmqL._SL500_.jpg,"Fiction, $5 Titles",,,,
Extremely Loud and Incredibly Close,,Jonathan Safran Foer,https://www.audible.com/pd/Extremely-Loud-and-Incredibly-Close-Audiobook/B002UZMX7G?ref=a_ep_black-_c10_lProduct_1_10&pf_rd_p=18f936b5-8d7f-4cb1-8336-758dd5709dbf&pf_rd_r=NVEXV3RBW2Q574Y6A4S8,https://m.media-amazon.com/images/I/51IdzLGSqNL._SL500_.jpg,"Fiction, $5 Titles",,,,
